Country,FechasF,AD,Years,Months,Days
 Afghanistan,1919-08-19,2022-06-02,102,1233,37543
 Albania,1912-11-28,2022-06-02,109,1314,39998
 Algeria,1962-07-05,2022-06-02,59,718,21882
 Andorra,,2022-06-02,,,
 Angola,1975-11-11,2022-06-02,46,558,17005
 Antigua and Barbuda,1981-11-01,2022-06-02,40,487,14823
 Argentina,1816-07-09,2022-06-02,205,2470,75203
 Armenia,1918-05-28,2022-06-02,104,1248,37991
 Armenia,1991-09-21,2022-06-02,30,368,11212
 Australia,1788-01-26,2022-06-02,234,2812,85594
 Austria,1955-10-26,2022-06-02,66,799,24326
 Azerbaijan,1918-05-28,2022-06-02,104,1248,37991
 Azerbaijan,1991-10-18,2022-06-02,30,367,11185
" Bahamas, The",1973-07-10,2022-06-02,48,586,17859
 Bahrain,1971-12-16,2022-06-02,50,605,18431
 Bangladesh,1971-03-26,2022-06-02,51,614,18696
 Bangladesh,1971-12-16,2022-06-02,50,605,18431
 Barbados,1966-11-30,2022-06-02,55,666,20273
 Belarus,1991-07-03,2022-06-02,30,370,11292
 Belgium,1831-07-21,2022-06-02,190,2290,69713
 Belize,1981-09-21,2022-06-02,40,488,14864
 Benin,1960-08-01,2022-06-02,61,742,22585
 Bhutan,1907-12-17,2022-06-02,114,1373,41806
 Bolivia,1825-08-06,2022-06-02,196,2361,71888
 Bosnia and Herzegovina,1992-03-01,2022-06-02,30,363,11050
 Botswana,1966-09-30,2022-06-02,55,668,20334
 Brazil,1822-09-07,2022-06-02,199,2396,72952
 United Kingdom,,2022-06-02,,,
 Brunei,1984-02-23,2022-06-02,38,459,13979
 Bulgaria,1878-03-03,2022-06-02,144,1730,52686
 Bulgaria,1908-09-22,2022-06-02,113,1364,41526
 Burkina Faso,1958-12-11,2022-06-02,63,761,23184
 Burkina Faso,1960-08-05,2022-06-02,61,741,22581
 Burundi,1962-07-01,2022-06-02,59,719,21886
 Cambodia,1953-11-09,2022-06-02,68,822,25042
 Cameroon,1960-05-20,2022-06-02,62,744,22658
 Canada,1867-07-01,2022-06-02,154,1859,56584
 Cape Verde,1975-07-05,2022-06-02,46,562,17134
